reference,bootstrap,log_loss,brier,calibration_intercept,calibration_slope,observed_rate,predicted_rate,auroc,auprc
symmetric,12,0.5829846950956236,0.18790858810419223,0.5467157921618231,0.11535867126330908,0.5958140949431834,0.5621873081515191,0.7794763655789775,0.8004520900568296
asymmetric,12,0.5824976287276246,0.187713723392634,0.5466182110201541,0.11541220144771043,0.5958140949431834,0.562044703618892,0.7799436356303949,0.8009264811171013
none,13,0.5940954276169599,0.19314659991135227,0.5551208355588996,0.10971575885832702,0.5976046563689277,0.5559217363821284,0.7668115503234003,0.7962405938063188
static,13,0.5718387105156713,0.18487084759700242,0.5517162249131283,0.11426228612410295,0.5976046563689277,0.5583891019729874,0.7858829879054096,0.8126705859142987
symmetric,13,0.5703728665164629,0.18431831344196137,0.5514447157769342,0.11457806371579914,0.5976046563689277,0.5585156685795298,0.7870397319068934,0.8137612095653288
asymmetric,13,0.5701807477399852,0.18423069030284106,0.5513875985136654,0.11452174493369979,0.5976046563689277,0.5584008729432327,0.7873749785411415,0.8142074612932881
none,14,0.618164838627766,0.20021618555679588,0.5539522531953723,0.10078538693761274,0.596131844184146,0.5593506965532581,0.7532841958000196,0.7822147820991374
static,14,0.5942722332469863,0.19114075469541764,0.5501825856067457,0.10585259852430438,0.596131844184146,0.5615485265392832,0.7738694717801622,0.7994098896765156
symmetric,14,0.5928839032975891,0.1906172768088521,0.5500951987195558,0.10612276722839031,0.596131844184146,0.5613752929715116,0.7751496388447796,0.8007153059329195
asymmetric,14,0.5924381855847388,0.19038172075446932,0.5499591021109983,0.10617258174262571,0.596131844184146,0.5613654848734084,0.7756487308773979,0.8012581320498335
none,15,0.596320570777964,0.19281719606773223,0.5593140459736636,0.1058199307848355,0.6150745781473965,0.5804002473917699,0.7591541888146975,0.7968273798735236
static,15,0.5747966165280552,0.1847824230603842,0.5545324246334312,0.11036447817066808,0.6150745781473965,0.5830003464881846,0.7775839715367316,0.8121160660564412
symmetric,15,0.5737274312428416,0.18434972475152334,0.5544084643783699,0.11061802206792087,0.6150745781473965,0.5829038074007709,0.7786303217523766,0.8130919632579938
asymmetric,15,0.5731910535743742,0.18415570385399438,0.5542439810138177,0.11070563972261571,0.6150745781473965,0.5829270749872348,0.7791016555679173,0.8136405813317247
none,16,0.6005697144205362,0.1976211483588948,0.5575390585050279,0.11396048208935972,0.6020864802292587,0.5589487934959546,0.7588085167761065,0.7946644683008939
static,16,0.5774726431456835,0.18873296957364846,0.5542525161010495,0.11778162851838918,0.6020864802292587,0.5610828858019056,0.7789823566117278,0.8122357044705257
symmetric,16,0.5760788389775918,0.18825020434180362,0.5541296014724516,0.11811698473216109,0.6020864802292587,0.5609798534946353,0.780138656954053,0.8133741005462901
asymmetric,16,0.5761078662843931,0.18819690359618368,0.5540177171249964,0.11802588826270936,0.6020864802292587,0.5609993943208054,0.7803287498236011,0.8136848361378645
none,17,0.6080497078619637,0.19560165210191277,0.5522277007260047,0.10065351197081654,0.6007497279213189,0.5687211443255935,0.7596423903416928,0.7891451562948852
